long,points,PTS,pa,PA,ab,AB,singles,1B,doubles,2B,triples,3B,home_runs,HR,walks,BB,strikeouts,K,sb,SB,cs,CS,runs,R,rbi,RBI,hbp,HBP,outs,O
5963 -- eduardo nunez -- MIN -- 3B/SS,1.68003,0.00000,1.00000,0.00000,0.93000,0.00000,0.15728,0.00000,0.05134,0.00000,0.02167,0.00000,0.00879,0.00000,0.04513,0.00000,0.12952,0.00000,0.04000,0.00000,0.01000,0.00000,0.10000,0.00000,0.11000,0.00000,0.00000,0.00000,0.50945,0.00000
6192 -- josh donaldson -- TOR -- 3B,1.64788,0.00000,1.00000,0.00000,0.89000,0.00000,0.13441,0.00000,0.04677,0.00000,0.00000,0.00000,0.03388,0.00000,0.09601,0.00000,0.17429,0.00000,0.01000,0.00000,0.00000,0.00000,0.10000,0.00000,0.11000,0.00000,0.00500,0.00000,0.46954,0.00000
5916 -- michael mckenry -- COL -- C,1.64397,0.00000,1.00000,0.00000,0.88000,0.00000,0.14680,0.00000,0.04272,0.00000,0.00000,0.00000,0.02449,0.00000,0.09255,0.00000,0.22630,0.00000,0.01000,0.00000,0.01000,0.00000,0.13000,0.00000,0.13000,0.00000,0.00500,0.00000,0.43174,0.00000
4391 -- jarrod saltalamacchia -- ARI -- C,1.63962,0.00000,1.00000,0.00000,0.89000,0.00000,0.10954,0.00000,0.05847,0.00000,0.00000,0.00000,0.03636,0.00000,0.09749,0.00000,0.31813,0.00000,0.00000,0.00000,0.00000,0.00000,0.11000,0.00000,0.12000,0.00000,0.00000,0.00000,0.37651,0.00000
8594 -- jake lamb -- ARI -- 3B,1.63359,0.00000,1.00000,0.00000,0.92000,0.00000,0.15933,0.00000,0.04873,0.00000,0.01045,0.00000,0.01818,0.00000,0.06824,0.00000,0.25848,0.00000,0.02000,0.00000,0.01000,0.00000,0.10000,0.00000,0.11000,0.00000,0.00500,0.00000,0.43926,0.00000
6426 -- ryan lavarnway -- ATL -- 1B/C,1.61876,0.00000,1.00000,0.00000,0.93000,0.00000,0.13774,0.00000,0.07681,0.00000,0.00000,0.00000,0.01937,0.00000,0.05888,0.00000,0.20569,0.00000,0.00000,0.00000,0.00000,0.00000,0.12000,0.00000,0.13000,0.00000,0.00500,0.00000,0.48079,0.00000
6182 -- daniel descalso -- COL -- 2B/SS,1.61545,0.00000,1.00000,0.00000,0.90000,0.00000,0.17826,0.00000,0.04272,0.00000,0.00842,0.00000,0.00816,0.00000,0.07404,0.00000,0.16972,0.00000,0.02000,0.00000,0.01000,0.00000,0.12000,0.00000,0.12000,0.00000,0.00500,0.00000,0.50369,0.00000
6168 -- mike baxter -- CHC -- OF,1.61201,0.00000,1.00000,0.00000,0.86000,0.00000,0.14821,0.00000,0.04854,0.00000,0.01048,0.00000,0.00883,0.00000,0.10130,0.00000,0.20612,0.00000,0.02000,0.00000,0.01000,0.00000,0.11000,0.00000,0.11000,0.00000,0.01500,0.00000,0.45437,0.00000
1992 -- josh hamilton -- TEX -- OF,1.61131,0.00000,1.00000,0.00000,0.89000,0.00000,0.13402,0.00000,0.04421,0.00000,0.01042,0.00000,0.02420,0.00000,0.09141,0.00000,0.27221,0.00000,0.01000,0.00000,0.00000,0.00000,0.10000,0.00000,0.11000,0.00000,0.00500,0.00000,0.38238,0.00000
6253 -- ehire adrianza -- SF -- 2B/SS,1.60435,0.00000,1.00000,0.00000,0.90000,0.00000,0.15111,0.00000,0.04913,0.00000,0.01063,0.00000,0.00775,0.00000,0.08144,0.00000,0.20129,0.00000,0.03000,0.00000,0.01000,0.00000,0.11000,0.00000,0.11000,0.00000,0.00500,0.00000,0.50701,0.00000
3126 -- justin maxwell -- SF -- OF,1.59992,0.00000,1.00000,0.00000,0.89000,0.00000,0.12089,0.00000,0.03930,0.00000,0.01063,0.00000,0.02325,0.00000,0.09162,0.00000,0.30193,0.00000,0.01000,0.00000,0.01000,0.00000,0.13000,0.00000,0.12000,0.00000,0.00500,0.00000,0.41195,0.00000
9129 -- jose abreu -- CWS -- 1B,1.59032,0.00000,1.00000,0.00000,0.92000,0.00000,0.16084,0.00000,0.04878,0.00000,0.00000,0.00000,0.03524,0.00000,0.05577,0.00000,0.23936,0.00000,0.00000,0.00000,0.00000,0.00000,0.09000,0.00000,0.10000,0.00000,0.01000,0.00000,0.42042,0.00000
5516 -- pedro alvarez -- PIT -- 1B/3B,1.58702,0.00000,1.00000,0.00000,0.90000,0.00000,0.12023,0.00000,0.03782,0.00000,0.00000,0.00000,0.03318,0.00000,0.08272,0.00000,0.22372,0.00000,0.01000,0.00000,0.00000,0.00000,0.12000,0.00000,0.12000,0.00000,0.00500,0.00000,0.43036,0.00000
5048 -- melvin upton jr. -- SD -- OF,1.57459,0.00000,1.00000,0.00000,0.89000,0.00000,0.11243,0.00000,0.02524,0.00000,0.00893,0.00000,0.02748,0.00000,0.09245,0.00000,0.27062,0.00000,0.04000,0.00000,0.01000,0.00000,0.10000,0.00000,0.10000,0.00000,0.00000,0.00000,0.39968,0.00000
7049 -- brandon barnes -- COL -- OF,1.57414,0.00000,1.00000,0.00000,0.93000,0.00000,0.18874,0.00000,0.04272,0.00000,0.00000,0.00000,0.01632,0.00000,0.05553,0.00000,0.23573,0.00000,0.01000,0.00000,0.01000,0.00000,0.12000,0.00000,0.12000,0.00000,0.00500,0.00000,0.44202,0.00000
132 -- joaquin arias -- SF -- 3B/SS,1.56344,0.00000,1.00000,0.00000,0.95000,0.00000,0.19141,0.00000,0.04913,0.00000,0.01063,0.00000,0.00775,0.00000,0.03054,0.00000,0.14090,0.00000,0.01000,0.00000,0.00000,0.00000,0.11000,0.00000,0.12000,0.00000,0.00500,0.00000,0.59152,0.00000
3503 -- mike napoli -- BOS -- 1B,1.55350,0.00000,1.00000,0.00000,0.85000,0.00000,0.11444,0.00000,0.04634,0.00000,0.00000,0.00000,0.02233,0.00000,0.11760,0.00000,0.25272,0.00000,0.01000,0.00000,0.00000,0.00000,0.12000,0.00000,0.11000,0.00000,0.00500,0.00000,0.35342,0.00000
6493 -- eric campbell -- NYM -- 3B,1.55308,0.00000,1.00000,0.00000,0.87000,0.00000,0.13708,0.00000,0.04314,0.00000,0.00000,0.00000,0.02226,0.00000,0.10179,0.00000,0.22302,0.00000,0.02000,0.00000,0.01000,0.00000,0.10000,0.00000,0.10000,0.00000,0.01000,0.00000,0.46364,0.00000
9409 -- ryan rua -- TEX -- 1B/OF,1.53686,0.00000,1.00000,0.00000,0.95000,0.00000,0.15317,0.00000,0.04421,0.00000,0.01042,0.00000,0.02420,0.00000,0.03047,0.00000,0.26213,0.00000,0.01000,0.00000,0.00000,0.00000,0.10000,0.00000,0.10000,0.00000,0.01000,0.00000,0.44121,0.00000
5979 -- gorkys hernandez -- PIT -- OF,1.53677,0.00000,1.00000,0.00000,0.92000,0.00000,0.15723,0.00000,0.03782,0.00000,0.00909,0.00000,0.00829,0.00000,0.05515,0.00000,0.21477,0.00000,0.04000,0.00000,0.01000,0.00000,0.10000,0.00000,0.11000,0.00000,0.00500,0.00000,0.44014,0.00000
6628 -- scooter gennett -- MIL -- 2B,1.53648,0.00000,1.00000,0.00000,0.95000,0.00000,0.17708,0.00000,0.04511,0.00000,0.00781,0.00000,0.01720,0.00000,0.03756,0.00000,0.17524,0.00000,0.01000,0.00000,0.00000,0.00000,0.10000,0.00000,0.11000,0.00000,0.00000,0.00000,0.50171,0.00000
